Number,Time,Temperature
235,2018-01-27 10:11:13,20.9
236,2018-01-27 10:16:13,20.9
237,2018-01-27 10:21:13,20.9
238,2018-01-27 10:26:13,20.9
239,2018-01-27 10:31:13,20.9
240,2018-01-27 10:36:13,20.9
241,2018-01-27 10:41:13,20.9
242,2018-01-27 10:46:13,20.9
243,2018-01-27 10:51:13,20.9
244,2018-01-27 10:56:13,20.9
245,2018-01-27 11:01:13,20.9
246,2018-01-27 11:06:13,20.9
247,2018-01-27 11:11:13,20.9
248,2018-01-27 11:16:13,20.9
249,2018-01-27 11:21:13,20.9
250,2018-01-27 11:26:13,20.9
251,2018-01-27 11:31:13,20.9
252,2018-01-27 11:36:13,20.9
253,2018-01-27 11:41:13,20.9
254,2018-01-27 11:46:13,20.9
255,2018-01-27 11:51:13,20.9
256,2018-01-27 11:56:13,20.9
257,2018-01-27 12:01:13,20.9
258,2018-01-27 12:06:13,20.9
259,2018-01-27 12:11:13,20.9
260,2018-01-27 12:16:13,20.9
261,2018-01-27 12:21:13,20.9
262,2018-01-27 12:26:13,20.9
263,2018-01-27 12:31:13,20.9
264,2018-01-27 12:36:13,20.9
265,2018-01-27 12:41:13,20.9
266,2018-01-27 12:46:13,20.9
267,2018-01-27 12:51:13,20.9
268,2018-01-27 12:56:13,20.9
269,2018-01-27 13:01:13,20.9
270,2018-01-27 13:06:13,20.9
271,2018-01-27 13:11:13,20.9
272,2018-01-27 13:16:13,20.9
273,2018-01-27 13:21:13,20.9
274,2018-01-27 13:26:13,20.9
275,2018-01-27 13:31:13,20.9
276,2018-01-27 13:36:13,20.9
277,2018-01-27 13:41:13,20.9
278,2018-01-27 13:46:13,21
279,2018-01-27 13:51:13,21
280,2018-01-27 13:56:13,21
281,2018-01-27 14:01:13,21
282,2018-01-27 14:06:13,21
283,2018-01-27 14:11:13,21
284,2018-01-27 14:16:13,21
285,2018-01-27 14:21:13,21
286,2018-01-27 14:26:13,21
287,2018-01-27 14:31:13,21
288,2018-01-27 14:36:13,21
289,2018-01-27 14:41:13,21
290,2018-01-27 14:46:13,21
291,2018-01-27 14:51:13,21
292,2018-01-27 14:56:13,21
293,2018-01-27 15:01:13,21
294,2018-01-27 15:06:13,21
295,2018-01-27 15:11:13,21.1
296,2018-01-27 15:16:13,21.1
297,2018-01-27 15:21:13,21.1
298,2018-01-27 15:26:13,21.1
299,2018-01-27 15:31:13,21.1
300,2018-01-27 15:36:13,21.1
301,2018-01-27 15:41:13,21.1
302,2018-01-27 15:46:13,21.1
303,2018-01-27 15:51:13,21.2
304,2018-01-27 15:56:13,21.1
305,2018-01-27 16:01:13,21.1
306,2018-01-27 16:06:13,21.1
307,2018-01-27 16:11:13,21.1
308,2018-01-27 16:16:13,21.1
309,2018-01-27 16:21:13,21.1
310,2018-01-27 16:26:13,21.1
311,2018-01-27 16:31:13,21.1
312,2018-01-27 16:36:13,21.2
313,2018-01-27 16:41:13,21.1
314,2018-01-27 16:46:13,21.1
315,2018-01-27 16:51:13,21.1
316,2018-01-27 16:56:13,21.1
317,2018-01-27 17:01:13,21.1
318,2018-01-27 17:06:13,21.1
319,2018-01-27 17:11:13,21.1
320,2018-01-27 17:16:13,21.1
321,2018-01-27 17:21:13,21.1
322,2018-01-27 17:26:13,21.1
323,2018-01-27 17:31:13,21.1
324,2018-01-27 17:36:13,21
325,2018-01-27 17:41:13,21
326,2018-01-27 17:46:13,21
327,2018-01-27 17:51:13,21
328,2018-01-27 17:56:13,21
329,2018-01-27 18:01:13,21
330,2018-01-27 18:06:13,21
331,2018-01-27 18:11:13,21
332,2018-01-27 18:16:13,21
333,2018-01-27 18:21:13,21
334,2018-01-27 18:26:13,21
335,2018-01-27 18:31:13,21
336,2018-01-27 18:36:13,21
337,2018-01-27 18:41:13,21
338,2018-01-27 18:46:13,21
339,2018-01-27 18:51:13,21
340,2018-01-27 18:56:13,21
341,2018-01-27 19:01:13,21
342,2018-01-27 19:06:13,21
343,2018-01-27 19:11:13,21
344,2018-01-27 19:16:13,21
345,2018-01-27 19:21:13,21
346,2018-01-27 19:26:13,21
347,2018-01-27 19:31:13,21
348,2018-01-27 19:36:13,20.9
349,2018-01-27 19:41:13,21
350,2018-01-27 19:46:13,20.9
351,2018-01-27 19:51:13,20.9
352,2018-01-27 19:56:13,20.9
353,2018-01-27 20:01:13,20.9
354,2018-01-27 20:06:13,20.9
355,2018-01-27 20:11:13,20.9
356,2018-01-27 20:16:13,20.9
357,2018-01-27 20:21:13,20.9
358,2018-01-27 20:26:13,20.9
359,2018-01-27 20:31:13,20.9
360,2018-01-27 20:36:13,20.9
361,2018-01-27 20:41:13,20.9
362,2018-01-27 20:46:13,20.9
363,2018-01-27 20:51:13,20.9
364,2018-01-27 20:56:13,21
365,2018-01-27 21:01:13,22.8
366,2018-01-27 21:06:13,21.7
367,2018-01-27 21:11:13,21.2
368,2018-01-27 21:16:13,21
369,2018-01-27 21:21:13,20.9
370,2018-01-27 21:26:13,20.9
371,2018-01-27 21:31:13,20.9
372,2018-01-27 21:36:13,20.9
373,2018-01-27 21:41:13,20.9
374,2018-01-27 21:46:13,20.9
375,2018-01-27 21:51:13,20.9
376,2018-01-27 21:56:13,20.9
377,2018-01-27 22:01:13,20.8
378,2018-01-27 22:06:13,20.8
379,2018-01-27 22:11:13,20.8
380,2018-01-27 22:16:13,20.8
381,2018-01-27 22:21:13,20.8
382,2018-01-27 22:26:13,20.8
383,2018-01-27 22:31:13,20.8
384,2018-01-27 22:36:13,20.8
385,2018-01-27 22:41:13,20.8
386,2018-01-27 22:46:13,20.8
387,2018-01-27 22:51:13,20.8
388,2018-01-27 22:56:13,20.9
389,2018-01-27 23:01:13,20.9
390,2018-01-27 23:06:13,20.9
391,2018-01-27 23:11:13,20.9
392,2018-01-27 23:16:13,20.9
393,2018-01-27 23:21:13,20.9
394,2018-01-27 23:26:13,20.9
395,2018-01-27 23:31:13,20.9
396,2018-01-27 23:36:13,20.9
397,2018-01-27 23:41:13,20.9
398,2018-01-27 23:46:13,20.9
399,2018-01-27 23:51:13,20.9
400,2018-01-27 23:56:13,20.9
401,2018-01-28 00:01:13,20.9
402,2018-01-28 00:06:13,20.8
403,2018-01-28 00:11:13,20.8
404,2018-01-28 00:16:13,20.8
405,2018-01-28 00:21:13,20.8
406,2018-01-28 00:26:13,20.8
407,2018-01-28 00:31:13,20.8
408,2018-01-28 00:36:13,20.8
409,2018-01-28 00:41:13,20.8
410,2018-01-28 00:46:13,20.8
411,2018-01-28 00:51:13,20.9
412,2018-01-28 00:56:13,20.9
413,2018-01-28 01:01:13,20.9
414,2018-01-28 01:06:13,20.9
415,2018-01-28 01:11:13,20.9
416,2018-01-28 01:16:13,20.9
417,2018-01-28 01:21:13,20.9
418,2018-01-28 01:26:13,20.9
419,2018-01-28 01:31:13,20.9
420,2018-01-28 01:36:13,20.9
421,2018-01-28 01:41:13,20.9
422,2018-01-28 01:46:13,20.9
423,2018-01-28 01:51:13,20.9
424,2018-01-28 01:56:13,20.8
425,2018-01-28 02:01:13,20.8
426,2018-01-28 02:06:13,20.8
427,2018-01-28 02:11:13,20.8
428,2018-01-28 02:16:13,20.8
429,2018-01-28 02:21:13,20.8
430,2018-01-28 02:26:13,20.8
431,2018-01-28 02:31:13,20.8
432,2018-01-28 02:36:13,20.8
433,2018-01-28 02:41:13,20.8
